PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
496027,2,1,3,7,3,3,3,2,2,5,3,5,5,6,5,4,4,3,5,3,4,4,5,6,7,4,4,4,6,4,4,4,3,3,7,6,5,5,5,6,5,4,6,5,6
157119,3,2,5,6,2,3,3,3,4,4,4,4,5,4,5,1,2,2,4,2,4,7,3,4,6,6,6,5,3,3,6,4,5,5,7,7,5,5,5,4,4,5,5,1,5
457702,4,3,6,4,4,3,4,4,3,3,4,3,3,5,5,3,5,4,1,3,5,5,4,1,4,4,3,6,6,6,6,4,4,4,5,2,5,7,5,5,7,2,7,6,6
566219,1,1,3,4,1,2,7,2,5,5,1,5,5,6,6,6,5,5,4,4,5,4,4,4,3,4,4,5,4,5,5,5,3,3,4,7,6,6,5,4,7,2,6,7,6
332010,3,4,5,5,3,3,2,4,4,4,5,2,3,1,2,2,1,1,3,2,3,4,4,4,6,5,6,5,4,5,6,6,5,5,5,6,5,7,7,7,4,6,7,4,6
673429,3,1,3,7,4,2,2,4,3,4,3,6,4,4,6,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,6,4,7,7,3,4,7,6,6
294341,4,3,4,4,3,2,3,4,4,4,2,6,6,5,5,5,7,1,4,4,3,7,6,7,6,6,3,4,5,5,5,4,5,4,5,6,5,5,4,6,4,3,5,5,4
421643,5,4,6,3,4,1,3,3,4,2,4,5,5,4,5,4,2,4,4,5,4,3,5,5,7,7,7,5,4,5,6,4,4,3,4,6,6,5,6,6,6,5,5,4,7
698543,4,3,5,5,3,1,4,4,4,3,4,6,7,5,4,6,6,4,6,4,6,6,7,5,7,5,4,5,5,5,3,2,2,4,3,4,3,5,5,7,4,3,5,5,6
1320167,4,4,7,4,3,4,4,3,4,4,3,5,4,5,6,3,2,1,2,3,5,1,5,5,5,4,4,6,6,5,6,5,5,4,6,4,5,6,7,3,5,2,6,5,7
1364905,5,4,6,2,5,3,4,4,5,3,4,5,5,3,5,3,5,1,3,3,4,4,7,4,5,4,6,4,4,4,6,5,4,4,7,5,6,6,6,5,5,2,7,7,6
1375584,5,5,5,5,4,5,5,4,5,5,4,6,2,2,7,1,4,5,7,6,3,3,1,2,4,4,7,5,5,4,2,6,6,2,2,5,3,3,3,3,3,3,3,3,3
1085662,4,2,6,5,1,3,5,6,2,1,3,6,5,4,6,4,7,4,5,5,5,7,7,5,5,4,4,2,4,5,5,4,4,6,6,5,4,3,1,6,5,3,7,4,4
1384564,3,2,5,6,2,4,3,2,2,4,3,6,3,1,3,7,3,3,3,3,4,4,5,4,5,5,5,5,4,5,5,4,5,4,5,4,4,6,5,6,4,4,4,5,4
1067027,3,4,4,5,3,4,4,4,4,5,4,5,5,4,4,5,6,3,2,1,2,5,4,5,3,6,3,4,4,6,6,6,5,5,6,3,7,7,3,3,3,3,7,3,6
1449803,4,5,6,4,4,4,3,4,4,4,5,2,4,2,6,2,3,3,4,1,3,4,2,5,7,6,2,5,4,5,5,6,7,5,6,6,6,7,7,5,4,5,5,5,5
1393665,5,4,5,4,4,5,5,4,5,5,6,4,1,4,3,3,5,4,4,3,2,4,3,2,5,4,5,6,5,7,6,6,5,5,7,4,3,6,6,4,7,3,4,6,4
